LFRD,DNR,Dinard-Pleurtuit-Saint-Malo Airport,Medium airport,Dinard/Pleurtuit/Saint-Malo,France,
UKDD,DNK,Dnipropetrovsk International Airport,Medium airport,Dnipropetrovsk,Ukraine,
LFGJ,DLE,Dole-Tavaux Airport,Medium airport,Dole/Tavaux,France,
LBPL,,Dolna Mitropoliya Air Base,Medium airport,Dolna Mitropoliya,Bulgaria,
EDTD,ZQL,Donaueschingen-Villingen Airport,Medium airport,Donaueschingen,Germany,
EIDL,CFN,Donegal Airport,Medium airport,Donegal,Ireland,
UUOT,TBW,Donskoye Airport,Medium airport,Tambov,Russia,
LSMD,,Dübendorf Air Base,Medium airport,Zurich,Switzerland,
LDDU,DBV,Dubrovnik Airport,Medium airport,Dubrovnik,Croatia,
EGPN,DND,Dundee Airport,Medium airport,Dundee,United Kingdom,
EGNV,MME,Durham Tees Valley Airport,Medium airport,Durham,United Kingdom,
UUBD,,Dyagilevo Air Base,Medium airport,Ryazan Oblast,Russia,
UKFY,,Dzhankoy Airport,Medium airport,Dzhankoy,Ukraine,
EGED,EOI,Eday Airport,Medium airport,Eday,United Kingdom,
